,HR surface density (g/cm2),HR surf dens radius (pc),LR surface density (g/cm2),LR surface density radius (pc),Reproj surface density (g/cm2),Reproj surf dens radius (pc),CSM surface density (g/cm2),CSM Surf Dens Radius (pc)
139,-5.906115718136602e-06,0.000228870627590739,6.241417772679718e-05,0.0005721765689768475,,0.0005721765689768475,,0.0005721765689768475
140,-5.608036477716345e-06,0.00023049960002910721,6.188143025365094e-05,0.0005762490000727681,,0.0005762490000727681,,0.0005762490000727681
141,-5.109956424575135e-06,0.00023212857246747548,6.142301990126743e-05,0.0005803214311686887,,0.0005803214311686887,,0.0005803214311686887
142,-4.4780691375973375e-06,0.00023375754490584375,6.093067147577221e-05,0.0005843938622646093,,0.0005843938622646093,,0.0005843938622646093
143,-3.543333120859595e-06,0.00023538651734421198,6.0412435264065666e-05,0.0005884662933605299,,0.0005884662933605299,,0.0005884662933605299
144,-2.3820542399228396e-06,0.00023701548978258025,5.994345859496355e-05,0.0005925387244564505,,0.0005925387244564505,,0.0005925387244564505
145,-1.7202433561885265e-06,0.0002386444622209485,5.939625874523487e-05,0.0005966111555523712,,0.0005966111555523712,,0.0005966111555523712
146,-1.165137902503956e-06,0.00024027343465931673,5.881407405597379e-05,0.0006006835866482918,,0.0006006835866482918,,0.0006006835866482918
147,-6.884085010108891e-07,0.00024190240709768496,5.8184934477268424e-05,0.0006047560177442125,,0.0006047560177442125,,0.0006047560177442125
148,-4.7079169664058625e-07,0.00024353137953605323,5.71917087138489e-05,0.0006088284488401331,,0.0006088284488401331,,0.0006088284488401331
149,-2.0991559383073242e-07,0.00024516035197442147,5.589555145892514e-05,0.0006129008799360537,,0.0006129008799360537,,0.0006129008799360537
150,2.9539320403528694e-07,0.00024678932441278973,5.468999376508782e-05,0.0006169733110319743,,0.0006169733110319743,,0.0006169733110319743
151,5.453237426529193e-07,0.000248418296851158,5.351374879210228e-05,0.0006210457421278949,,0.0006210457421278949,,0.0006210457421278949
152,4.814692245684742e-07,0.0002500472692895262,5.25126477782938e-05,0.0006251181732238155,,0.0006251181732238155,,0.0006251181732238155
153,4.1446696178680564e-07,0.0002516762417278945,5.184001271822617e-05,0.0006291906043197361,,0.0006291906043197361,,0.0006291906043197361
154,6.811380186313835e-07,0.0002533052141662627,5.119427362352264e-05,0.0006332630354156567,,0.0006332630354156567,,0.0006332630354156567
155,1.3899147350909322e-06,0.000254934186604631,5.061449927434195e-05,0.0006373354665115775,,0.0006373354665115775,,0.0006373354665115775
156,1.8469523850904513e-06,0.0002565631590429992,5.0239866227179854e-05,0.0006414078976074981,,0.0006414078976074981,,0.0006414078976074981
157,2.291697614799505e-06,0.0002581921314813675,4.9729578694775135e-05,0.0006454803287034187,,0.0006454803287034187,,0.0006454803287034187
158,2.649341008689051e-06,0.00025982110391973575,4.915422306537478e-05,0.0006495527597993394,,0.0006495527597993394,,0.0006495527597993394
159,2.90258076614179e-06,0.00026145007635810396,4.8885544252337524e-05,0.0006536251908952599,,0.0006536251908952599,,0.0006536251908952599
160,3.0820721308403202e-06,0.0002630790487964722,4.869762029695616e-05,0.0006576976219911805,,0.0006576976219911805,,0.0006576976219911805
161,3.129888756885242e-06,0.00026470802123484044,4.8554715471395654e-05,0.0006617700530871011,,0.0006617700530871011,,0.0006617700530871011
162,3.0966185914744133e-06,0.0002663369936732087,4.864417259921406e-05,0.0006658424841830217,,0.0006658424841830217,,0.0006658424841830217
163,3.1008088767884975e-06,0.00026796596611157697,4.8797417006001264e-05,0.0006699149152789425,,0.0006699149152789425,,0.0006699149152789425
164,3.1957642070835393e-06,0.00026959493854994523,4.9032699859942495e-05,0.0006739873463748631,,0.0006739873463748631,,0.0006739873463748631
165,3.3533430209776458e-06,0.0002712239109883135,4.932566311076575e-05,0.0006780597774707837,,0.0006780597774707837,,0.0006780597774707837
166,3.4983722822580163e-06,0.0002728528834266817,4.9356405701661407e-05,0.0006821322085667042,,0.0006821322085667042,,0.0006821322085667042
167,3.5655617652783896e-06,0.0002744818558650499,4.935415667701825e-05,0.0006862046396626249,,0.0006862046396626249,,0.0006862046396626249
168,3.5395708665696885e-06,0.0002761108283034182,4.958189425819229e-05,0.0006902770707585455,,0.0006902770707585455,,0.0006902770707585455
169,3.4295529650202302e-06,0.00027773980074178645,4.9822026242213546e-05,0.0006943495018544661,,0.0006943495018544661,,0.0006943495018544661
170,3.2477231089307742e-06,0.0002793687731801547,5.0096505753882834e-05,0.0006984219329503867,,0.0006984219329503867,,0.0006984219329503867
171,3.0253486676703297e-06,0.000280997745618523,5.043555139248571e-05,0.0007024943640463074,,0.0007024943640463074,,0.0007024943640463074
