,HR density (g/cm3),HR density radius (pc),LR density (g/cm3),LR density radius (pc)
138,-2.4415795128717312e-21,0.00022805614137155487,6.273542860831917e-21,0.0005701403534288871
139,-2.5251383845182634e-21,0.0002296851138099231,6.0843197500840214e-21,0.0005742127845248077
140,-2.618849144167697e-21,0.00023131408624829132,5.9855459186092165e-21,0.0005782852156207284
141,-2.7250115621976737e-21,0.00023294305868665959,5.917599205288397e-21,0.000582357646716649
142,-2.8467908139378852e-21,0.00023457203112502785,5.847987162004178e-21,0.0005864300778125696
143,-2.9887343856082627e-21,0.0002362010035633961,5.830161388184196e-21,0.0005905025089084901
144,-3.157770970532254e-21,0.00023782997600176436,5.835891481511611e-21,0.0005945749400044107
145,-3.3653955417669292e-21,0.00023945894844013257,5.8522749300932324e-21,0.0005986473711003313
146,-3.6334202601212855e-21,0.0002410879208785008,5.852351769710036e-21,0.0006027198021962521
147,-4.0146879363665725e-21,0.00024271689331686907,5.554677508870376e-21,0.0006067922332921727
148,-4.3698794876983886e-21,0.00024434586575523734,4.812125380892595e-21,0.0006108646643880933
149,-4.190155975350196e-21,0.0002459748381936056,3.871388367886769e-21,0.0006149370954840139
150,-3.771737963224108e-21,0.0002476038106319738,2.8930187692964476e-21,0.0006190095265799345
151,-4.0892665760961646e-21,0.0002492327830703421,1.98058262442926e-21,0.0006230819576758552
152,-4.960992353182797e-21,0.00025086175550871034,1.3055975100948153e-21,0.0006271543887717757
153,-5.215332126777536e-21,0.00025249072794707856,7.6046533871593145e-22,0.0006312268198676963
154,-4.283452666116129e-21,0.0002541197003854468,2.5238990789438814e-22,0.000635299250963617
155,-3.05098050774953e-21,0.0002557486728238151,-1.3800835329881154e-22,0.0006393716820595378
156,-2.0426521451092643e-21,0.0002573776452621833,-5.9097600057973e-22,0.0006434441131554583
157,-1.0838693303804347e-21,0.0002590066177005516,-1.2095604403665387e-21,0.000647516544251379
158,-3.0145220480998653e-22,0.0002606355901389199,-1.728866354955221e-21,0.0006515889753472996
159,2.814786186851699e-22,0.0002622645625772881,-2.107058066743763e-21,0.0006556614064432202
160,5.598219870953451e-22,0.0002638935350156563,-2.4500464823603314e-21,0.0006597338375391408
161,5.213304863993106e-22,0.00026552250745402457,-2.6530771582415958e-21,0.0006638062686350613
162,4.353715830115964e-22,0.0002671514798923928,-2.7039181526639956e-21,0.0006678786997309819
163,5.771353334753702e-22,0.00026878045233076105,-2.6464926749158807e-21,0.0006719511308269028
164,1.0052084714992643e-21,0.00027040942476912937,-2.528664502582289e-21,0.0006760235619228234
165,1.5777158795939896e-21,0.0002720383972074976,-2.5841921846927645e-21,0.0006800959930187439
166,2.090564782146375e-21,0.00027366736964586584,-2.8123700909959763e-21,0.0006841684241146645
167,2.4172366632405256e-21,0.00027529634208423406,-2.945572520011349e-21,0.0006882408552105851
168,2.521511368490639e-21,0.00027692531452260227,-2.9812617750765517e-21,0.0006923132863065057
169,2.402662619158807e-21,0.0002785542869609706,-3.0063897042643836e-21,0.0006963857174024263
170,2.1055124416891952e-21,0.00028018325939933885,-3.009969963919891e-21,0.000700458148498347
